customer_id,gender,age,signup_date,purchase_date,product_category,product_price,quantity,payment_method,device_type,total_amount
1641,Male,22,2023-09-11,2023-09-14,Electronics,333.91,2,Credit Card,Mobile,667.82
1426,Male,42,2023-01-16,2023-05-13,Electronics,443.91,1,PayPal,Tablet,443.91
1304,Male,22,2023-08-13,2023-11-29,Beauty,401.94,1,PayPal,Mobile,401.94
1431,Female,35,2023-03-26,2023-08-09,Home,33.7,3,Bank Transfer,Tablet,101.10000000000001
1677,Female,23,2023-03-01,2023-02-27,Home,314.24,3,Bank Transfer,Desktop,942.72
1638,Female,54,2023-11-26,2023-06-16,Books,57.39,3,Credit Card,Desktop,172.17000000000002
1330,Female,19,2023-06-01,2023-03-01,Electronics,250.83,1,Bank Transfer,Mobile,250.83
1832,Female,64,2023-05-30,2023-09-15,Home,425.55,4,Credit Card,Tablet,1702.2
1809,Male,43,2023-11-01,2023-12-30,Clothing,59.59,4,Credit Card,Desktop,238.36
1889,Female,48,2023-09-20,2023-01-24,Home,95.03,1,PayPal,Mobile,95.03
1454,Male,56,2023-05-25,2023-07-27,Books,438.11,2,Credit Card,Mobile,876.22
1961,Male,30,2023-10-02,2023-06-24,Books,197.54,3,PayPal,Mobile,592.62
1069,Female,58,2023-10-23,2023-02-18,Beauty,88.76,2,PayPal,Tablet,177.52
1033,Male,68,2023-10-03,2023-12-18,Books,39.95,4,Credit Card,Mobile,159.8
1908,Female,39,2023-12-24,2023-02-13,Home,156.25,1,Credit Card,Desktop,156.25
1813,Male,31,2023-08-23,2023-02-19,Home,80.29,1,PayPal,Tablet,80.29
1853,Female,39,2023-07-04,2023-09-06,Beauty,188.51,2,Credit Card,Tablet,377.02
1978,Male,44,2023-09-29,2023-10-31,Books,264.93,3,Credit Card,Tablet,794.79
1640,Male,56,2023-05-21,2023-02-14,Home,461.76,2,PayPal,Tablet,923.52
1564,Female,42,2023-05-28,2023-07-04,Electronics,476.13,4,Bank Transfer,Desktop,1904.52
1694,Male,45,2023-11-02,2023-06-14,Books,449.87,3,Bank Transfer,Mobile,1349.6100000000001
1543,Male,65,2023-02-03,2023-08-18,Clothing,107.65,2,Bank Transfer,Mobile,215.3
1269,Male,45,2023-02-21,2023-07-17,Electronics,313.73,3,Bank Transfer,Desktop,941.19
1458,Female,67,2023-06-28,2023-05-07,Clothing,385.42,1,PayPal,Tablet,385.42
1825,Female,19,2023-07-26,2023-08-24,Home,183.14,3,Credit Card,Mobile,549.42
1054,Female,36,2023-12-31,2023-02-14,Clothing,27.97,3,Credit Card,Desktop,83.91
1206,Female,37,2023-08-05,2023-01-25,Electronics,207.49,4,PayPal,Desktop,829.96
1921,Male,23,2023-10-23,2023-07-14,Beauty,192.26,3,Bank Transfer,Mobile,576.78
1331,Male,67,2023-03-08,2023-05-20,Electronics,68.51,2,Credit Card,Mobile,137.02
1499,Male,62,2023-01-09,2023-11-12,Books,314.74,3,Bank Transfer,Desktop,944.22
1253,Female,35,2023-03-23,2023-07-03,Home,372.36,3,PayPal,Mobile,1117.08
1746,Male,46,2023-11-21,2023-10-13,Beauty,22.97,1,Bank Transfer,Desktop,22.97
1270,Male,64,2023-07-25,2023-05-14,Clothing,193.34,1,Bank Transfer,Tablet,193.34
1121,Female,52,2023-03-05,2023-12-22,Home,351.57,3,Bank Transfer,Tablet,1054.71
1194,Female,18,2023-03-16,2023-05-30,Books,214.46,4,PayPal,Mobile,857.84
1635,Female,44,2023-12-12,2023-07-10,Beauty,190.37,2,PayPal,Desktop,380.74
1000,Male,47,2023-09-16,2023-04-18,Books,228.21,1,Bank Transfer,Mobile,228.21
1891,Female,51,2023-10-23,2023-09-30,Electronics,178.81,1,Bank Transfer,Desktop,178.81
1976,Male,20,2023-08-20,2023-05-02,Electronics,372.57,3,PayPal,Desktop,1117.71
1396,Female,47,2023-10-29,2023-10-01,Books,57.08,4,Bank Transfer,Mobile,228.32
1518,Female,34,2023-01-09,2023-01-06,Beauty,437.93,2,Bank Transfer,Tablet,875.86
1913,Female,38,2023-07-18,2023-01-09,Books,332.24,3,Credit Card,Desktop,996.72
1843,Female,32,2023-08-13,2023-02-10,Electronics,135.75,3,Bank Transfer,Mobile,407.25
1628,Female,36,2023-04-29,2023-01-19,Clothing,219.37,1,Credit Card,Desktop,219.37
1066,Male,45,2023-01-01,2023-10-14,Books,402.51,2,Credit Card,Desktop,805.02
1255,Female,60,2023-11-08,2023-01-14,Beauty,46.87,1,PayPal,Desktop,46.87
1122,Female,54,2023-11-12,2023-04-15,Clothing,134.23,1,PayPal,Tablet,134.23
1097,Female,49,2023-02-15,2023-04-05,Home,433.94,1,PayPal,Mobile,433.94
1515,Female,66,2023-10-15,2023-09-19,Clothing,311.11,2,PayPal,Desktop,622.22
1910,Male,37,2023-05-25,2023-03-31,Electronics,477.87,3,Credit Card,Desktop,1433.6100000000001
1348,Female,68,2023-11-24,2023-02-07,Home,477.15,2,PayPal,Desktop,954.3
1944,Male,21,2023-02-07,2023-09-10,Clothing,163.29,2,PayPal,Tablet,326.58
1301,Male,63,2023-01-23,2023-02-03,Books,56.53,1,Bank Transfer,Desktop,56.53
1626,Male,60,2023-05-12,2023-10-03,Home,13.47,1,Credit Card,Mobile,13.47
1439,Male,18,2023-01-05,2023-01-23,Electronics,370.72,1,Credit Card,Mobile,370.72
1939,Male,52,2023-03-20,2023-10-06,Electronics,72.91,4,Credit Card,Tablet,291.64
1790,Female,65,2023-04-16,2023-06-14,Electronics,453.72,3,PayPal,Desktop,1361.16
1750,Male,43,2023-06-16,2023-12-12,Books,494.76,2,PayPal,Tablet,989.52
1948,Male,52,2023-02-01,2023-02-06,Books,297.08,4,PayPal,Desktop,1188.32
1304,Male,26,2023-08-09,2023-11-06,Books,30.9,1,Credit Card,Mobile,30.9
1527,Female,44,2023-07-11,2023-05-19,Home,414.65,2,Credit Card,Desktop,829.3
1014,Male,65,2023-09-18,2023-10-01,Home,142.1,3,Bank Transfer,Mobile,426.29999999999995
1940,Male,22,2023-12-03,2023-08-16,Home,478.56,1,PayPal,Desktop,478.56
1646,Female,68,2023-01-29,2023-09-11,Beauty,151.03,1,Bank Transfer,Tablet,151.03
1156,Female,27,2023-01-14,2023-08-14,Clothing,266.78,2,PayPal,Desktop,533.56
1225,Male,60,2023-04-19,2023-02-06,Electronics,74.47,3,Bank Transfer,Tablet,223.41
1717,Male,30,2023-05-22,2023-07-27,Electronics,113.35,4,PayPal,Mobile,453.4
1500,Male,47,2023-05-05,2023-05-11,Home,293.31,3,Credit Card,Desktop,879.9300000000001
1326,Female,43,2023-08-26,2023-11-16,Beauty,65.09,1,PayPal,Desktop,65.09
1454,Female,22,2023-11-09,2023-11-03,Clothing,285.48,4,Bank Transfer,Tablet,1141.92
1483,Female,25,2023-06-15,2023-11-25,Books,473.79,3,PayPal,Desktop,1421.3700000000001
1738,Female,28,2023-05-07,2023-10-02,Beauty,58.58,4,Bank Transfer,Desktop,234.32
1223,Female,32,2023-11-25,2023-06-18,Beauty,467.07,2,PayPal,Desktop,934.14
1389,Male,64,2023-10-30,2023-12-28,Books,449.9,2,PayPal,Tablet,899.8
1655,Male,54,2023-09-26,2023-05-02,Beauty,467.18,1,PayPal,Tablet,467.18
1551,Female,32,2023-08-16,2023-05-28,Beauty,118.81,3,Bank Transfer,Mobile,356.43
1587,Female,30,2023-03-26,2023-09-20,Electronics,302.52,3,Bank Transfer,Mobile,907.56
1119,Female,53,2023-04-14,2023-10-20,Books,193.69,4,Bank Transfer,Desktop,774.76
1531,Female,30,2023-10-27,2023-02-03,Books,74.04,2,PayPal,Mobile,148.08
1982,Female,25,2023-04-17,2023-03-26,Clothing,419.61,2,Bank Transfer,Mobile,839.22
1074,Female,20,2023-05-31,2023-05-25,Electronics,43.09,2,PayPal,Mobile,86.18
1651,Male,53,2023-09-10,2023-07-10,Clothing,64.01,4,Bank Transfer,Mobile,256.04
1021,Female,64,2023-03-16,2023-06-04,Beauty,195.37,4,Credit Card,Tablet,781.48
1606,Female,39,2023-10-05,2023-08-19,Books,149.25,1,PayPal,Desktop,149.25
1613,Female,33,2023-07-15,2023-08-11,Home,373.86,2,Bank Transfer,Mobile,747.72
1473,Male,40,2023-01-06,2023-07-13,Electronics,97.38,2,Credit Card,Tablet,194.76
1861,Female,43,2023-03-20,2023-01-27,Books,390.57,4,PayPal,Tablet,1562.28
1343,Male,45,2023-09-28,2023-07-05,Books,467.72,3,Bank Transfer,Tablet,1403.16
1220,Male,29,2023-01-28,2023-10-10,Books,82.39,1,Bank Transfer,Tablet,82.39
1208,Female,24,2023-11-15,2023-02-07,Clothing,394.53,4,PayPal,Tablet,1578.12
1752,Male,58,2023-02-22,2023-05-07,Home,188.87,1,Bank Transfer,Desktop,188.87
1076,Male,18,2023-02-24,2023-07-18,Electronics,417.33,2,Credit Card,Desktop,834.66
1383,Male,29,2023-08-15,2023-02-16,Electronics,227.44,3,Bank Transfer,Tablet,682.3199999999999
1730,Male,44,2023-08-08,2023-03-23,Books,81.15,1,Bank Transfer,Tablet,81.15
1418,Female,24,2023-05-17,2023-04-07,Clothing,345.16,1,PayPal,Mobile,345.16
1099,Male,51,2023-10-17,2023-02-20,Clothing,375.5,1,Bank Transfer,Tablet,375.5
1438,Male,63,2023-04-15,2023-01-26,Books,135.22,2,Bank Transfer,Desktop,270.44
1411,Male,59,2023-09-30,2023-02-17,Books,217.14,3,Credit Card,Tablet,651.42
1155,Female,52,2023-06-13,2023-05-04,Home,380.75,1,PayPal,Desktop,380.75
1915,Female,48,2023-08-26,2023-01-05,Books,226.74,4,Bank Transfer,Tablet,906.96
1660,Male,54,2023-08-31,2023-06-08,Books,340.88,4,Credit Card,Mobile,1363.52
1655,Male,59,2023-11-17,2023-05-03,Beauty,372.72,1,PayPal,Tablet,372.72
1422,Male,31,2023-07-13,2023-02-27,Beauty,393.38,2,Credit Card,Tablet,786.76
1064,Male,37,2023-03-30,2023-10-16,Home,66.14,2,Bank Transfer,Desktop,132.28
1371,Female,61,2023-04-27,2023-09-12,Beauty,371.55,2,Bank Transfer,Mobile,743.1
1039,Male,30,2023-11-17,2023-08-27,Books,291.5,1,Credit Card,Desktop,291.5
1462,Male,41,2023-06-10,2023-07-04,Beauty,227.21,3,Credit Card,Desktop,681.63
1689,Male,58,2023-09-17,2023-09-07,Clothing,294.68,2,PayPal,Tablet,589.36
1365,Female,42,2023-12-22,2023-11-07,Electronics,159.3,2,Credit Card,Tablet,318.6
1199,Male,36,2023-04-17,2023-11-15,Beauty,82.2,1,PayPal,Desktop,82.2
1230,Male,49,2023-02-27,2023-09-03,Electronics,284.36,3,PayPal,Tablet,853.08
1760,Male,38,2023-03-31,2023-11-21,Books,450.08,1,Credit Card,Tablet,450.08
1681,Female,24,2023-03-14,2023-09-13,Beauty,323.83,2,PayPal,Mobile,647.66
1332,Male,45,2023-01-07,2023-02-26,Electronics,420.42,1,Bank Transfer,Mobile,420.42
1312,Female,37,2023-11-28,2023-01-10,Home,176.33,3,Credit Card,Desktop,528.99
1198,Female,26,2023-10-13,2023-09-25,Electronics,70.19,2,Credit Card,Tablet,140.38
1223,Male,22,2023-10-24,2023-02-05,Books,190.1,1,Bank Transfer,Tablet,190.1
1628,Male,34,2023-02-25,2023-02-04,Clothing,267.51,1,Bank Transfer,Desktop,267.51
1981,Female,21,2023-08-07,2023-06-26,Clothing,14.51,3,Credit Card,Desktop,43.53
1013,Male,29,2023-03-28,2023-06-28,Home,86.12,3,PayPal,Mobile,258.36
1573,Female,40,2023-04-10,2023-11-28,Beauty,406.28,3,Bank Transfer,Mobile,1218.84
1510,Male,21,2023-10-14,2023-11-26,Home,179.07,2,Bank Transfer,Tablet,358.14
1747,Male,67,2023-10-17,2023-05-02,Electronics,427.66,1,Bank Transfer,Mobile,427.66
1780,Female,19,2023-03-31,2023-11-29,Beauty,317.46,2,Credit Card,Mobile,634.92
1303,Male,54,2023-08-04,2023-05-18,Books,229.74,1,PayPal,Tablet,229.74
1526,Male,61,2023-02-11,2023-06-19,Books,140.6,1,PayPal,Mobile,140.6
1234,Female,62,2023-05-21,2023-08-06,Beauty,100.86,1,PayPal,Tablet,100.86
1435,Female,33,2023-09-23,2023-06-12,Beauty,249.01,4,Bank Transfer,Tablet,996.04
1789,Male,60,2023-09-21,2023-03-15,Books,379.14,2,Bank Transfer,Tablet,758.28
1310,Female,22,2023-07-13,2023-12-11,Beauty,393.75,4,PayPal,Desktop,1575.0
1226,Male,65,2023-12-06,2023-09-07,Clothing,407.2,4,PayPal,Desktop,1628.8
1924,Male,62,2023-12-11,2023-07-04,Home,107.29,3,Credit Card,Mobile,321.87
1731,Male,62,2023-12-01,2023-10-12,Electronics,58.04,2,PayPal,Desktop,116.08
1443,Female,49,2023-10-07,2023-03-16,Electronics,13.33,2,Credit Card,Mobile,26.66
1363,Female,22,2023-12-01,2023-12-15,Books,127.22,3,Credit Card,Mobile,381.65999999999997
1700,Male,68,2023-12-25,2023-04-14,Home,274.29,2,Bank Transfer,Mobile,548.58
1983,Female,32,2023-01-17,2023-09-04,Beauty,323.64,4,Credit Card,Tablet,1294.56
1812,Male,64,2023-08-04,2023-03-18,Clothing,426.09,4,PayPal,Mobile,1704.36
1322,Female,41,2023-02-22,2023-09-27,Clothing,386.85,2,Bank Transfer,Mobile,773.7
1153,Female,24,2023-02-06,2023-12-12,Books,165.22,1,PayPal,Tablet,165.22
1129,Male,68,2023-01-14,2023-03-25,Home,412.79,4,Credit Card,Mobile,1651.16
1235,Male,35,2023-01-16,2023-12-29,Books,354.16,3,Credit Card,Desktop,1062.48
1938,Male,35,2023-03-30,2023-04-15,Electronics,351.74,2,PayPal,Desktop,703.48
1484,Female,23,2023-07-14,2023-04-14,Books,66.48,2,PayPal,Desktop,132.96
1515,Male,24,2023-08-28,2023-12-14,Beauty,129.03,4,Bank Transfer,Mobile,516.12
1548,Female,39,2023-12-27,2023-04-28,Home,13.49,2,Credit Card,Desktop,26.98
1165,Female,21,2023-08-28,2023-11-16,Books,356.29,4,PayPal,Mobile,1425.16
1546,Male,47,2023-09-19,2023-10-10,Electronics,479.73,2,Credit Card,Desktop,959.46
1551,Male,52,2023-06-10,2023-07-19,Electronics,400.94,2,Bank Transfer,Desktop,801.88
1252,Female,57,2023-09-08,2023-02-06,Electronics,228.34,4,Credit Card,Tablet,913.36
1781,Female,45,2023-12-20,2023-07-22,Beauty,81.89,4,Credit Card,Mobile,327.56
1599,Male,45,2023-05-27,2023-12-04,Beauty,22.07,2,PayPal,Tablet,44.14
1262,Female,29,2023-06-13,2023-08-24,Beauty,316.27,3,PayPal,Mobile,948.81
1781,Male,52,2023-10-19,2023-06-01,Beauty,254.31,2,Credit Card,Mobile,508.62
1061,Male,51,2023-03-26,2023-07-02,Books,30.77,3,Bank Transfer,Desktop,92.31
1600,Male,41,2023-01-28,2023-10-24,Beauty,415.13,3,Credit Card,Tablet,1245.3899999999999
1153,Male,69,2023-08-02,2023-07-22,Clothing,16.46,3,Bank Transfer,Tablet,49.38
1467,Male,45,2023-01-23,2023-11-02,Books,213.61,4,Bank Transfer,Tablet,854.44
1122,Male,62,2023-08-02,2023-10-07,Electronics,122.8,4,PayPal,Desktop,491.2
1489,Male,51,2023-07-22,2023-06-02,Home,319.31,4,PayPal,Tablet,1277.24
1653,Male,42,2023-05-20,2023-05-10,Books,267.12,4,PayPal,Mobile,1068.48
1275,Male,45,2023-10-28,2023-03-04,Beauty,438.61,3,Credit Card,Mobile,1315.83
1171,Male,32,2023-07-13,2023-05-17,Home,349.85,3,Bank Transfer,Tablet,1049.5500000000002
1650,Male,30,2023-12-31,2023-09-18,Electronics,96.4,1,Credit Card,Desktop,96.4
1089,Male,62,2023-11-11,2023-08-05,Beauty,142.05,1,Bank Transfer,Mobile,142.05
1688,Male,45,2023-11-13,2023-06-29,Books,202.7,2,PayPal,Desktop,405.4
1688,Female,58,2023-08-04,2023-12-06,Electronics,402.33,1,Bank Transfer,Mobile,402.33
1737,Male,47,2023-09-25,2023-11-12,Clothing,439.86,3,Credit Card,Mobile,1319.58
1121,Male,30,2023-06-06,2023-09-27,Electronics,265.12,1,Bank Transfer,Tablet,265.12
1582,Male,63,2023-03-09,2023-05-30,Books,222.39,1,PayPal,Desktop,222.39
1162,Female,33,2023-07-15,2023-05-26,Electronics,70.01,1,PayPal,Mobile,70.01
1521,Male,65,2023-02-12,2023-11-09,Electronics,188.99,3,PayPal,Desktop,566.97
1688,Female,38,2023-07-26,2023-08-08,Books,240.89,4,PayPal,Tablet,963.56
1426,Male,45,2023-07-16,2023-09-16,Beauty,365.57,2,Bank Transfer,Desktop,731.14
1694,Female,26,2023-03-16,2023-12-10,Beauty,499.26,3,Credit Card,Mobile,1497.78
1987,Female,62,2023-08-17,2023-12-15,Beauty,50.79,2,Credit Card,Mobile,101.58
1344,Female,20,2023-09-07,2023-05-05,Beauty,199.06,4,PayPal,Mobile,796.24
1436,Male,26,2023-12-03,2023-10-07,Books,477.43,3,Bank Transfer,Tablet,1432.29
1159,Male,41,2023-11-05,2023-08-19,Electronics,135.6,2,PayPal,Tablet,271.2
1386,Male,24,2023-07-19,2023-04-02,Beauty,169.64,2,PayPal,Tablet,339.28
1231,Female,44,2023-01-14,2023-06-27,Electronics,301.93,1,Bank Transfer,Tablet,301.93
1734,Female,29,2023-11-06,2023-06-12,Beauty,204.77,1,Bank Transfer,Desktop,204.77
1298,Female,18,2023-12-12,2023-05-13,Books,242.51,1,Credit Card,Tablet,242.51
1371,Female,23,2023-08-31,2023-04-08,Beauty,30.51,3,PayPal,Tablet,91.53
1478,Male,31,2023-01-21,2023-02-27,Electronics,460.85,2,PayPal,Tablet,921.7
1330,Female,53,2023-06-26,2023-08-04,Books,54.64,4,Credit Card,Tablet,218.56
1807,Female,34,2023-10-28,2023-10-23,Home,341.12,2,Bank Transfer,Tablet,682.24
1465,Male,36,2023-09-07,2023-06-11,Home,420.88,2,Credit Card,Mobile,841.76
1739,Female,67,2023-09-14,2023-07-08,Clothing,36.92,3,PayPal,Mobile,110.76
1592,Male,19,2023-08-03,2023-11-24,Clothing,346.99,3,Credit Card,Mobile,1040.97
1290,Male,63,2023-11-18,2023-12-18,Beauty,262.04,4,PayPal,Mobile,1048.16
1677,Female,28,2023-08-20,2023-04-04,Beauty,13.31,3,Credit Card,Mobile,39.93
1818,Male,55,2023-12-22,2023-11-01,Electronics,57.87,4,Credit Card,Desktop,231.48
1568,Female,62,2023-12-06,2023-05-29,Electronics,142.77,2,PayPal,Mobile,285.54
1099,Female,25,2023-10-29,2023-12-03,Books,102.27,2,PayPal,Mobile,204.54
1276,Male,24,2023-02-18,2023-10-30,Home,285.75,2,Bank Transfer,Desktop,571.5
1879,Female,34,2023-12-31,2023-06-08,Home,26.06,1,Credit Card,Mobile,26.06
1368,Male,20,2023-01-14,2023-07-30,Clothing,134.59,2,PayPal,Tablet,269.18
1680,Male,34,2023-10-10,2023-08-01,Clothing,251.38,1,PayPal,Desktop,251.38
1407,Female,19,2023-01-31,2023-09-22,Electronics,240.13,1,PayPal,Mobile,240.13
1626,Male,57,2023-02-27,2023-04-26,Clothing,273.14,4,Bank Transfer,Mobile,1092.56
1742,Female,51,2023-12-03,2023-05-07,Home,448.41,1,PayPal,Desktop,448.41
1478,Male,19,2023-09-28,2023-07-12,Beauty,255.42,2,PayPal,Desktop,510.84
1131,Male,27,2023-12-30,2023-06-24,Books,446.41,2,PayPal,Tablet,892.82
1527,Male,55,2023-12-21,2023-09-15,Clothing,106.65,2,PayPal,Mobile,213.3
1916,Female,33,2023-02-20,2023-03-01,Beauty,324.68,4,Bank Transfer,Tablet,1298.72
1968,Female,48,2023-05-22,2023-08-29,Electronics,427.35,2,PayPal,Desktop,854.7
1494,Female,49,2023-03-04,2023-09-30,Beauty,291.33,3,Bank Transfer,Mobile,873.99
1114,Male,67,2023-07-25,2023-01-07,Clothing,64.54,3,PayPal,Tablet,193.62
1086,Male,50,2023-03-22,2023-07-01,Home,217.62,4,Bank Transfer,Desktop,870.48
1877,Female,24,2023-01-06,2023-02-09,Electronics,91.81,2,PayPal,Desktop,183.62
1476,Female,51,2023-12-13,2023-05-25,Books,89.33,3,Bank Transfer,Desktop,267.99
1273,Female,64,2023-01-15,2023-12-30,Beauty,368.62,4,Credit Card,Tablet,1474.48
1841,Female,44,2023-03-05,2023-06-11,Clothing,479.2,2,Bank Transfer,Mobile,958.4
1957,Female,38,2023-07-26,2023-07-12,Books,245.73,2,Bank Transfer,Desktop,491.46
1482,Female,24,2023-08-25,2023-02-03,Clothing,364.64,3,Bank Transfer,Mobile,1093.92
1212,Female,66,2023-06-03,2023-05-12,Books,105.46,2,Bank Transfer,Desktop,210.92
1852,Male,67,2023-12-25,2023-01-18,Beauty,268.76,3,Credit Card,Tablet,806.28
1153,Female,47,2023-06-01,2023-07-23,Beauty,220.49,3,Credit Card,Mobile,661.47
1019,Male,22,2023-08-26,2023-01-08,Books,457.15,1,Credit Card,Mobile,457.15
1227,Female,28,2023-08-05,2023-03-09,Books,84.27,4,Credit Card,Desktop,337.08
1272,Male,42,2023-10-29,2023-06-16,Electronics,256.88,4,Bank Transfer,Mobile,1027.52
